...1	file_name	total_RNAs	time	rep	condition
49	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_23.npz	90	24hpi	rep3	MKRN1KO HIV
50	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_24.npz	13	24hpi	rep3	MKRN1KO HIV
51	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_25.npz	3	24hpi	rep3	MKRN1KO HIV
52	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_26.npz	4	24hpi	rep3	MKRN1KO HIV
53	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_27.npz	10	24hpi	rep3	MKRN1KO HIV
54	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_28.npz	63	24hpi	rep3	MKRN1KO HIV
55	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_0.npz	3	24hpi	rep3	MKRN1KO HIV
56	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_1.npz	1	24hpi	rep3	MKRN1KO HIV
57	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_2.npz	1	24hpi	rep3	MKRN1KO HIV
58	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_3.npz	2	24hpi	rep3	MKRN1KO HIV
59	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_4.npz	3	24hpi	rep3	MKRN1KO HIV
60	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_5.npz	3282	24hpi	rep3	MKRN1KO HIV
61	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_6.npz	171	24hpi	rep3	MKRN1KO HIV
62	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_7.npz	36	24hpi	rep3	MKRN1KO HIV
63	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_8.npz	2	24hpi	rep3	MKRN1KO HIV
64	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_9.npz	5	24hpi	rep3	MKRN1KO HIV
65	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_10.npz	10	24hpi	rep3	MKRN1KO HIV
66	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_11.npz	2	24hpi	rep3	MKRN1KO HIV
67	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_12.npz	3	24hpi	rep3	MKRN1KO HIV
68	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_13.npz	2	24hpi	rep3	MKRN1KO HIV
69	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_14.npz	6	24hpi	rep3	MKRN1KO HIV
70	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_15.npz	19	24hpi	rep3	MKRN1KO HIV
71	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_16.npz	58	24hpi	rep3	MKRN1KO HIV
72	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_17.npz	7	24hpi	rep3	MKRN1KO HIV
73	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_18.npz	17	24hpi	rep3	MKRN1KO HIV
74	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_19.npz	5	24hpi	rep3	MKRN1KO HIV
75	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_20.npz	1	24hpi	rep3	MKRN1KO HIV
76	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_21.npz	1	24hpi	rep3	MKRN1KO HIV
77	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_22.npz	35	24hpi	rep3	MKRN1KO HIV
78	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_23.npz	2	24hpi	rep3	MKRN1KO HIV
79	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_24.npz	5	24hpi	rep3	MKRN1KO HIV
80	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_25.npz	4	24hpi	rep3	MKRN1KO HIV
81	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_26.npz	1	24hpi	rep3	MKRN1KO HIV
82	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_27.npz	0	24hpi	rep3	MKRN1KO HIV
83	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_28.npz	7	24hpi	rep3	MKRN1KO HIV
84	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_29.npz	5	24hpi	rep3	MKRN1KO HIV
85	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_30.npz	4	24hpi	rep3	MKRN1KO HIV
86	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_31.npz	4	24hpi	rep3	MKRN1KO HIV
87	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_32.npz	19	24hpi	rep3	MKRN1KO HIV
88	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_0.npz	2310	24hpi	rep3	MKRN1KO HIV
89	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_1.npz	1388	24hpi	rep3	MKRN1KO HIV
90	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_2.npz	2607	24hpi	rep3	MKRN1KO HIV
91	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_3.npz	1335	24hpi	rep3	MKRN1KO HIV
92	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_4.npz	2	24hpi	rep3	MKRN1KO HIV
93	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_5.npz	8	24hpi	rep3	MKRN1KO HIV
94	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_6.npz	1	24hpi	rep3	MKRN1KO HIV
95	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_7.npz	4	24hpi	rep3	MKRN1KO HIV
96	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_8.npz	2	24hpi	rep3	MKRN1KO HIV
97	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_9.npz	8	24hpi	rep3	MKRN1KO HIV
98	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_10.npz	106	24hpi	rep3	MKRN1KO HIV
99	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_11.npz	1197	24hpi	rep3	MKRN1KO HIV
100	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_12.npz	111	24hpi	rep3	MKRN1KO HIV
101	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_13.npz	3	24hpi	rep3	MKRN1KO HIV
102	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_14.npz	42	24hpi	rep3	MKRN1KO HIV
103	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_15.npz	67	24hpi	rep3	MKRN1KO HIV
104	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_16.npz	3	24hpi	rep3	MKRN1KO HIV
105	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_17.npz	93	24hpi	rep3	MKRN1KO HIV
106	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_18.npz	11	24hpi	rep3	MKRN1KO HIV
107	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_19.npz	793	24hpi	rep3	MKRN1KO HIV
108	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_20.npz	10	24hpi	rep3	MKRN1KO HIV
109	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_21.npz	4	24hpi	rep3	MKRN1KO HIV
110	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_22.npz	1364	24hpi	rep3	MKRN1KO HIV
111	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_23.npz	24	24hpi	rep3	MKRN1KO HIV
112	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_24.npz	4	24hpi	rep3	MKRN1KO HIV
113	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_25.npz	53	24hpi	rep3	MKRN1KO HIV
114	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_26.npz	44	24hpi	rep3	MKRN1KO HIV
115	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_27.npz	90	24hpi	rep3	MKRN1KO HIV
116	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_28.npz	11	24hpi	rep3	MKRN1KO HIV
117	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_29.npz	2	24hpi	rep3	MKRN1KO HIV
118	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_30.npz	13	24hpi	rep3	MKRN1KO HIV
119	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_31.npz	158	24hpi	rep3	MKRN1KO HIV
120	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_32.npz	1293	24hpi	rep3	MKRN1KO HIV
121	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_33.npz	31	24hpi	rep3	MKRN1KO HIV
122	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_0.npz	2	24hpi	rep3	MKRN1KO HIV
123	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_1.npz	16	24hpi	rep3	MKRN1KO HIV
124	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_2.npz	2	24hpi	rep3	MKRN1KO HIV
125	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_3.npz	1	24hpi	rep3	MKRN1KO HIV
126	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_4.npz	5	24hpi	rep3	MKRN1KO HIV
127	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_5.npz	5	24hpi	rep3	MKRN1KO HIV
128	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_6.npz	20	24hpi	rep3	MKRN1KO HIV
129	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_7.npz	0	24hpi	rep3	MKRN1KO HIV
130	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_8.npz	20	24hpi	rep3	MKRN1KO HIV
131	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_9.npz	3	24hpi	rep3	MKRN1KO HIV
132	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_10.npz	0	24hpi	rep3	MKRN1KO HIV
133	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_11.npz	4	24hpi	rep3	MKRN1KO HIV
134	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_12.npz	2	24hpi	rep3	MKRN1KO HIV
135	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_13.npz	6	24hpi	rep3	MKRN1KO HIV
136	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_14.npz	4	24hpi	rep3	MKRN1KO HIV
137	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_15.npz	2	24hpi	rep3	MKRN1KO HIV
138	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_16.npz	5	24hpi	rep3	MKRN1KO HIV
139	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_17.npz	6	24hpi	rep3	MKRN1KO HIV
140	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_18.npz	0	24hpi	rep3	MKRN1KO HIV
141	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_19.npz	4	24hpi	rep3	MKRN1KO HIV
142	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_20.npz	2	24hpi	rep3	MKRN1KO HIV
143	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_21.npz	1	24hpi	rep3	MKRN1KO HIV
144	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_22.npz	1	24hpi	rep3	MKRN1KO HIV
145	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_23.npz	0	24hpi	rep3	MKRN1KO HIV
146	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_24.npz	4	24hpi	rep3	MKRN1KO HIV
147	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_25.npz	5	24hpi	rep3	MKRN1KO HIV
148	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_26.npz	5	24hpi	rep3	MKRN1KO HIV
149	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_27.npz	3	24hpi	rep3	MKRN1KO HIV
150	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_28.npz	839	24hpi	rep3	MKRN1KO HIV
151	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_29.npz	1	24hpi	rep3	MKRN1KO HIV
152	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_30.npz	5	24hpi	rep3	MKRN1KO HIV
153	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_31.npz	27	24hpi	rep3	MKRN1KO HIV
154	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_32.npz	0	24hpi	rep3	MKRN1KO HIV
155	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_33.npz	5	24hpi	rep3	MKRN1KO HIV
156	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_34.npz	6	24hpi	rep3	MKRN1KO HIV
157	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_35.npz	13	24hpi	rep3	MKRN1KO HIV
158	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_36.npz	17	24hpi	rep3	MKRN1KO HIV
159	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_37.npz	1	24hpi	rep3	MKRN1KO HIV
160	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_38.npz	5	24hpi	rep3	MKRN1KO HIV
161	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_001_results_results_cell_39.npz	1	24hpi	rep3	MKRN1KO HIV
162	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_0.npz	1	24hpi	rep3	MKRN1KO HIV
163	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_1.npz	11	24hpi	rep3	MKRN1KO HIV
164	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_2.npz	10	24hpi	rep3	MKRN1KO HIV
165	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_3.npz	4	24hpi	rep3	MKRN1KO HIV
166	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_4.npz	0	24hpi	rep3	MKRN1KO HIV
167	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_5.npz	1	24hpi	rep3	MKRN1KO HIV
168	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_6.npz	3	24hpi	rep3	MKRN1KO HIV
169	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_7.npz	0	24hpi	rep3	MKRN1KO HIV
170	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_8.npz	5	24hpi	rep3	MKRN1KO HIV
171	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_9.npz	1	24hpi	rep3	MKRN1KO HIV
172	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_10.npz	0	24hpi	rep3	MKRN1KO HIV
173	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_11.npz	0	24hpi	rep3	MKRN1KO HIV
174	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_12.npz	0	24hpi	rep3	MKRN1KO HIV
175	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_13.npz	0	24hpi	rep3	MKRN1KO HIV
176	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_14.npz	3	24hpi	rep3	MKRN1KO HIV
177	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_15.npz	5	24hpi	rep3	MKRN1KO HIV
178	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_16.npz	4	24hpi	rep3	MKRN1KO HIV
179	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_17.npz	2	24hpi	rep3	MKRN1KO HIV
180	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_18.npz	2	24hpi	rep3	MKRN1KO HIV
181	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_19.npz	3	24hpi	rep3	MKRN1KO HIV
182	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_20.npz	0	24hpi	rep3	MKRN1KO HIV
183	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_21.npz	2	24hpi	rep3	MKRN1KO HIV
184	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_22.npz	3	24hpi	rep3	MKRN1KO HIV
185	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_23.npz	4	24hpi	rep3	MKRN1KO HIV
186	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_24.npz	1	24hpi	rep3	MKRN1KO HIV
187	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_25.npz	0	24hpi	rep3	MKRN1KO HIV
188	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_26.npz	1	24hpi	rep3	MKRN1KO HIV
189	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_27.npz	25	24hpi	rep3	MKRN1KO HIV
190	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_28.npz	0	24hpi	rep3	MKRN1KO HIV
191	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_29.npz	1	24hpi	rep3	MKRN1KO HIV
192	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_30.npz	1	24hpi	rep3	MKRN1KO HIV
193	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_31.npz	1	24hpi	rep3	MKRN1KO HIV
194	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_32.npz	8	24hpi	rep3	MKRN1KO HIV
195	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_002_results_results_cell_33.npz	1	24hpi	rep3	MKRN1KO HIV
